0.000000	1.864894	non
1.864894	2.624666	swallow
2.624666	3.568624	non
3.568624	4.259326	swallow
4.259326	5.272355	non
5.272355	5.963056	swallow
5.963056	7.206319	non
7.206319	7.966091	swallow
7.966091	9.416564	non
9.416564	10.015172	swallow
10.015172	11.580762	non
11.580762	12.271463	swallow
12.271463	14.090311	non
14.090311	14.781012	swallow
14.781012	16.507766	non
16.507766	17.129397	swallow
17.129397	19.063362	non
19.063362	19.777087	swallow
19.777087	21.757098	non
21.757098	22.640410	non
22.640410	23.466995	swallow
23.466995	24.585317	non
24.585317	25.314657	swallow
25.314657	26.084516	non
26.084516	26.935413	swallow
26.935413	28.467027	non
28.467027	29.196367	swallow
29.196367	31.335765	non
31.335765	31.866728	non
31.866728	32.291498	swallow
32.291498	33.229533	non
33.229533	33.937484	swallow
33.937484	35.017108	non
35.017108	35.654264	swallow
35.654264	36.663093	non
36.663093	37.335646	swallow
37.335646	38.415271	non
38.415271	39.176318	swallow
39.176318	40.822303	non
40.822303	41.583350	swallow
41.583350	42.946155	non
42.946155	43.777997	swallow
43.777997	45.459380	non
45.459380	46.273523	swallow
46.273523	48.061098	non
48.061098	49.916443	non
49.916443	50.682412	swallow
50.682412	51.380294	non
51.380294	52.248391	swallow
52.248391	53.269682	non
53.269682	54.239909	swallow
54.239909	55.278221	non
55.278221	56.197383	swallow
56.197383	57.150588	non
57.150588	58.001664	swallow
58.001664	59.039976	non
59.039976	59.993181	swallow
59.993181	61.576182	non
61.576182	62.529387	swallow
62.529387	73.333182	non
62.529387	64.146417	non
73.333182	73.980858	swallow
73.980858	75.139856	non
75.139856	75.872752	swallow
75.872752	76.810177	non
76.810177	77.457853	swallow
77.457853	78.685027	non
78.685027	79.298615	swallow
79.298615	80.253084	non
80.253084	97.426417	non
97.426417	98.856364	non
98.856364	99.476292	swallow
99.476292	100.539026	non
100.539026	101.336076	swallow
101.336076	102.642353	non
102.642353	103.483684	swallow
103.483684	104.391435	non
104.391435	105.365608	swallow
105.365608	106.605463	non
106.605463	107.690337	swallow
107.690337	108.925079	non
